"loan_date","est_yield","est_loss","est_return","rating","year"
2013-09-20,0.18316,0.0925,0.09066,"D","2013"
2013-12-24,0.11567,0.0449,0.07077,"B","2013"
2013-04-18,0.2382,0.1275,0.1107,"E","2013"
2013-05-13,0.1783,0.0799,0.0984,"C","2013"
2013-12-12,0.05221,0.0099,0.04231,"AA","2013"
2013-12-12,0.05221,0.0099,0.04231,"AA","2013"
2013-07-18,0.0905,0.0274,0.0631,"A","2013"
2013-05-13,0.0827,0.0224,0.0603,"A","2013"
2013-07-18,0.2473,0.1225,0.1248,"E","2013"
2013-03-11,0.0849,0.0249,0.06,"A","2013"
2013-10-10,0.1952,0.1025,0.0927,"D","2013"
2013-11-29,0.11567,0.0449,0.07077,"B","2013"
2013-02-05,0.276,0.1575,0.1185,"HR","2013"
2013-04-26,0.2126,0.1075,0.1051,"D","2013"
2013-12-18,0.14256,0.0649,0.07766,"C","2013"
2013-10-10,0.23057,0.1275,0.10307,"E","2013"
2013-02-21,0.2473,0.1225,0.1248,"E","2013"
2013-11-13,0.14661,0.0624,0.08421,"C","2013"
2013-12-11,0.25006,0.1475,0.10256,"E","2013"
2013-09-30,0.2165,0.1175,0.099,"D","2013"
2013-08-22,0.0647,0.0149,0.0498,"AA","2013"
2013-10-10,0.15519,0.0699,0.08529,"C","2013"
2013-06-27,0.1536,0.0624,0.0912,"C","2013"
2013-04-10,0.0965,0.0299,0.0666,"A","2013"
2013-05-13,0.1148,0.0399,0.0749,"A","2013"
2013-08-28,0.135,0.0474,0.0876,"B","2013"
2013-08-21,0.0827,0.0224,0.0603,"A","2013"
2013-12-19,0.18828,0.1025,0.08578,"D","2013"
2013-03-27,0.1015,0.0324,0.0691,"A","2013"
2013-02-05,0.2382,0.1275,0.1107,"E","2013"
2013-11-01,0.1238,0.0449,0.0789,"B","2013"
2013-09-19,0.16468,0.0774,0.08728,"C","2013"
2013-07-24,0.135,0.0474,0.0876,"B","2013"
2013-11-07,0.14963,0.0649,0.08473,"C","2013"
2013-12-09,0.1121,0.0424,0.0697,"B","2013"
2013-10-09,0.23673,0.1325,0.10423,"E","2013"
2013-07-03,0.1808,0.0824,0.0984,"C","2013"
2013-07-19,0.2,0.0975,0.1025,"D","2013"
2013-07-01,0.2512,0.1375,0.1137,"E","2013"
2013-04-18,0.1808,0.0824,0.0984,"C","2013"
2013-07-19,0.2575,0.1425,0.115,"E","2013"
2013-09-04,0.1765,0.0674,0.1091,"C","2013"
2013-09-19,0.0751,0.0199,0.0552,"AA","2013"
2013-01-30,0.276,0.1575,0.1185,"HR","2013"
2013-12-16,0.14256,0.0649,0.07766,"C","2013"
2013-12-06,0.17274,0.0899,0.08284,"C","2013"
2013-10-25,0.15519,0.0699,0.08529,"C","2013"
2013-12-05,0.16162,0.0799,0.08172,"C","2013"
2013-08-27,0.1575,0.0574,0.1001,"B","2013"
2013-05-10,0.2126,0.1075,0.1051,"D","2013"
2013-09-13,0.1952,0.1025,0.0927,"D","2013"
2013-10-28,0.2165,0.1175,0.099,"D","2013"
2013-10-25,0.25691,0.1475,0.10941,"E","2013"
2013-08-07,0.2148,0.0975,0.1173,"D","2013"
2013-09-12,0.1452,0.0574,0.0878,"B","2013"
2013-12-31,0.06919,0.0199,0.04929,"AA","2013"
2013-10-30,0.18316,0.0925,0.09066,"D","2013"
