"est_loss","est_return","rating","year"
0.0249,0.0547,"A","2014"
0.0249,0.06,"A","2012"
0.0925,0.09066,"D","2013"
0.0449,0.07077,"B","2013"
0.1275,0.1107,"E","2013"
0.0799,0.0984,"C","2013"
0.0099,0.04231,"AA","2013"
0.0099,0.04231,"AA","2013"
0.089,0.1442,"C","2012"
0.0524,0.074,"B","2014"
0.0274,0.0631,"A","2013"
0.0224,0.0603,"A","2013"
0.165,0.1246,"HR","2012"
0.1225,0.1248,"E","2013"
0.0249,0.06,"A","2013"
0.1025,0.0927,"D","2013"
0.0449,0.07077,"B","2013"
0.1575,0.1185,"HR","2013"
0.1075,0.1051,"D","2013"
0.0649,0.07766,"C","2013"
0.1275,0.10307,"E","2013"
0.1225,0.1248,"E","2013"
0.0624,0.08421,"C","2013"
0.0399,0.0691,"A","2014"
0.038,0.0517,"A","2012"
0.1625,0.1271,"HR","2012"
0.0424,0.0697,"B","2014"
0.0899,0.0782,"C","2014"
0.0595,0.09,"B","2011"
0.1475,0.10256,"E","2013"
0.1175,0.099,"D","2013"
0.0149,0.0498,"AA","2013"
0.0724,0.07923,"C","2014"
0.0565,0.1385,"B","2012"
0.0699,0.08529,"C","2013"
0.0624,0.0912,"C","2013"
0.0299,0.0666,"A","2013"
0.0399,0.0749,"A","2013"
0.0474,0.0876,"B","2013"
0.0224,0.0603,"A","2013"
0.1025,0.08578,"D","2013"
0.0595,0.1074,"B","2011"
0.0324,0.0691,"A","2013"
0.1275,0.1107,"E","2013"
0.0449,0.1272,"B","2012"
0.0449,0.0789,"B","2013"
0.0774,0.08728,"C","2013"
0.119,0.1202,"D","2012"
0.0474,0.0876,"B","2013"
0.0649,0.08473,"C","2013"
0.0424,0.0697,"B","2013"
0.1325,0.10423,"E","2013"
0.0674,0.07349,"C","2014"
0.13,0.1152,"E","2011"
0.0349,0.06499,"A","2014"
0.0824,0.0984,"C","2013"
0.1625,0.1174,"HR","2012"
0.112,0.1317,"D","2011"
0.0975,0.1025,"D","2013"
0.147,0.1487,"E","2011"
0.1375,0.1137,"E","2013"
0.0495,0.0488,"B","2011"
0.0824,0.0984,"C","2013"
0.1175,0.09211,"D","2014"
0.0124,0.0762,"AA","2012"
0.1425,0.115,"E","2013"
0.147,0.1257,"E","2012"
0.0674,0.1091,"C","2013"
0.0824,0.08223,"C","2014"
0.0849,0.08227,"C","2014"
0.149,0.1276,"E","2012"
0.165,0.1267,"HR","2011"
0.0565,0.1074,"B","2012"
0.089,0.1442,"C","2012"
0.165,0.1246,"HR","2012"
0.0274,0.05879,"A","2014"
0.0599,0.1389,"B","2012"
0.0749,0.0965,"C","2012"
0.0474,0.07192,"B","2014"
0.0199,0.0552,"AA","2013"
0.1575,0.1185,"HR","2013"
0.099,0.1144,"D","2012"
0.0649,0.07766,"C","2013"
0.112,0.1414,"D","2011"
0.052,0.0973,"B","2011"
0.165,0.1246,"HR","2012"
0.119,0.1104,"D","2012"
0.165,0.1246,"HR","2012"
0.0899,0.08284,"C","2013"
0.0699,0.08529,"C","2013"
0.0565,0.0761,"B","2012"
0.0799,0.08172,"C","2013"
0.0674,0.07819,"C","2014"
0.0574,0.1001,"B","2013"
0.147,0.1487,"E","2011"
0.0324,0.06388,"A","2014"
0.1075,0.1051,"D","2013"
0.1025,0.0927,"D","2013"
0.0249,0.101,"A","2012"
0.1175,0.099,"D","2013"
0.1475,0.10941,"E","2013"
0.0774,0.08027,"C","2014"
0.149,0.1276,"E","2012"
0.149,0.1276,"E","2012"
0.0975,0.1173,"D","2013"
0.0724,0.07923,"C","2014"
0.1125,0.1065,"D","2012"
0.0574,0.0878,"B","2013"
0.0199,0.04929,"AA","2013"
0.1275,0.09162,"E","2014"
0.0925,0.1487,"D","2012"
0.0925,0.09066,"D","2013"
0.1125,0.09609,"D","2013"
0.0774,0.08728,"C","2013"
0.042,0.128,"B","2012"
0.1625,0.1271,"HR","2012"
0.0199,0.04929,"AA","2014"
0.0524,0.074,"B","2014"
0.0474,0.07192,"B","2013"
0.0149,0.0552,"AA","2012"
0.1625,0.11348,"HR","2013"
0.0774,0.08027,"C","2014"
0.0699,0.08529,"C","2013"
0.0324,0.06291,"A","2014"
0.119,0.115,"D","2012"
0.0199,0.0547,"AA","2013"
0.0874,0.08279,"C","2014"
0.1475,0.10256,"E","2014"
0.042,0.0926,"B","2012"
0.149,0.1347,"E","2011"
0.0899,0.08284,"C","2013"
0.1475,0.10941,"E","2013"
0.089,0.111,"C","2012"
0.0299,0.0657,"A","2012"
0.165,0.1246,"HR","2012"
0.0599,0.0888,"B","2013"
0.0624,0.07713,"C","2014"
0.0699,0.08529,"C","2013"
0.1175,0.1235,"D","2013"
0.112,0.1317,"D","2011"
0.0574,0.1001,"B","2013"
0.0299,0.0906,"A","2012"
0.0595,0.09,"B","2011"
0.0224,0.05342,"A","2014"
0.165,0.1267,"HR","2011"
0.0724,0.0955,"C","2013"
0.0224,0.06026,"A","2013"
0.089,0.1422,"C","2012"
0.0124,0.04261,"AA","2014"
0.0649,0.07766,"C","2014"
0.0565,0.1385,"B","2012"
0.1325,0.1122,"E","2013"
0.0674,0.08524,"C","2013"
0.165,0.1246,"HR","2012"
0.0799,0.1133,"C","2013"
0.1325,0.1122,"E","2013"
0.0524,0.0858,"B","2013"
0.0399,0.0782,"A","2013"
0.0299,0.06663,"A","2013"
0.0324,0.06388,"A","2014"
0.0749,0.0965,"C","2012"
0.0674,0.07819,"C","2013"
0.0799,0.08872,"C","2013"
0.0849,0.08227,"C","2014"
0.0349,0.0727,"A","2013"
0.0199,0.04929,"AA","2014"
0.1475,0.10256,"E","2014"
0.1025,0.1039,"D","2012"
0.0424,0.0836,"B","2013"
0.0724,0.08627,"C","2013"
0.0074,0.04261,"AA","2013"
0.0649,0.07766,"C","2013"
0.0749,0.1115,"C","2013"
0.02,0.0597,"A","2012"
0.119,0.115,"D","2012"
0.0574,0.07463,"B","2014"
0.1425,0.115,"E","2013"
0.033,0.0386,"A","2012"
0.0849,0.1152,"C","2013"
0.1275,0.1107,"E","2013"
0.0649,0.0922,"C","2013"
0.0349,0.06499,"A","2014"
0.147,0.1439,"E","2011"
0.147,0.1257,"E","2012"
0.0274,0.0631,"A","2012"
0.165,0.1246,"HR","2012"
0.165,0.1246,"HR","2012"
0.147,0.1487,"E","2011"
0.1025,0.1039,"D","2012"
0.0925,0.1487,"D","2012"
0.147,0.1487,"E","2011"
0.0424,0.0697,"B","2014"
0.0925,0.1281,"D","2012"
0.0474,0.07192,"B","2014"
0.0449,0.07077,"B","2014"
0.0249,0.101,"A","2012"
0.1675,0.1221,"HR","2012"
0.119,0.1202,"D","2012"
0.0499,0.0838,"B","2013"
0.038,0.0905,"A","2011"
0.065,0.1083,"C","2012"
0.0674,0.0941,"C","2013"
0.112,0.1414,"D","2011"
0.112,0.1317,"D","2011"
0.1325,0.09737,"E","2014"
0.112,0.1414,"D","2011"
0.0449,0.07077,"B","2014"
0.0474,0.07192,"B","2014"
0.1375,0.1239,"E","2012"
0.0349,0.07078,"A","2013"
0.0849,0.08926,"C","2013"
0.0565,0.0761,"B","2012"
0.099,0.1144,"D","2012"
0.1025,0.08578,"D","2014"
0.1,0.1048,"D","2011"
0.1375,0.1137,"E","2013"
0.108,0.1454,"D","2011"
0.099,0.1144,"D","2012"
0.1625,0.1271,"HR","2012"
0.0399,0.0691,"A","2013"
0.038,0.0905,"A","2011"
0.0874,0.07814,"C","2014"
0.0899,0.08284,"C","2014"
0.0549,0.08215,"B","2013"
