loan_date,est_yield,est_loss,est_return,rating,year
3/3/2014,0.0796,0.0249,0.0547,A,2014
11/1/2012,0.0849,0.0249,0.06,A,2012
9/20/2013,0.18316,0.0925,0.09066,D,2013
12/24/2013,0.11567,0.0449,0.07077,B,2013
4/18/2013,0.2382,0.1275,0.1107,E,2013
5/13/2013,0.1783,0.0799,0.0984,C,2013
12/12/2013,0.05221,0.0099,0.04231,AA,2013
12/12/2013,0.05221,0.0099,0.04231,AA,2013
5/17/2012,0.2332,0.089,0.1442,C,2012
1/7/2014,0.1264,0.0524,0.074,B,2014
7/18/2013,0.0905,0.0274,0.0631,A,2013
5/13/2013,0.0827,0.0224,0.0603,A,2013
4/19/2012,0.2896,0.165,0.1246,HR,2012
7/18/2013,0.2473,0.1225,0.1248,E,2013
3/11/2013,0.0849,0.0249,0.06,A,2013
10/10/2013,0.1952,0.1025,0.0927,D,2013
11/29/2013,0.11567,0.0449,0.07077,B,2013
2/5/2013,0.276,0.1575,0.1185,HR,2013
4/26/2013,0.2126,0.1075,0.1051,D,2013
12/18/2013,0.14256,0.0649,0.07766,C,2013
10/10/2013,0.23057,0.1275,0.10307,E,2013
2/21/2013,0.2473,0.1225,0.1248,E,2013
11/13/2013,0.14661,0.0624,0.08421,C,2013
1/16/2014,0.109,0.0399,0.0691,A,2014
2/7/2012,0.0897,0.038,0.0517,A,2012
9/27/2012,0.2896,0.1625,0.1271,HR,2012
1/22/2014,0.1121,0.0424,0.0697,B,2014
2/27/2014,0.1681,0.0899,0.0782,C,2014
12/21/2011,0.1495,0.0595,0.09,B,2011
12/11/2013,0.25006,0.1475,0.10256,E,2013
9/30/2013,0.2165,0.1175,0.099,D,2013
8/22/2013,0.0647,0.0149,0.0498,AA,2013
1/29/2014,0.15163,0.0724,0.07923,C,2014
6/6/2012,0.195,0.0565,0.1385,B,2012
10/10/2013,0.15519,0.0699,0.08529,C,2013
6/27/2013,0.1536,0.0624,0.0912,C,2013
4/10/2013,0.0965,0.0299,0.0666,A,2013
5/13/2013,0.1148,0.0399,0.0749,A,2013
8/28/2013,0.135,0.0474,0.0876,B,2013
8/21/2013,0.0827,0.0224,0.0603,A,2013
12/19/2013,0.18828,0.1025,0.08578,D,2013
11/7/2011,0.1669,0.0595,0.1074,B,2011
3/27/2013,0.1015,0.0324,0.0691,A,2013
2/5/2013,0.2382,0.1275,0.1107,E,2013
8/31/2012,0.1721,0.0449,0.1272,B,2012
11/1/2013,0.1238,0.0449,0.0789,B,2013
9/19/2013,0.16468,0.0774,0.08728,C,2013
1/20/2012,0.2392,0.119,0.1202,D,2012
7/24/2013,0.135,0.0474,0.0876,B,2013
11/7/2013,0.14963,0.0649,0.08473,C,2013
12/9/2013,0.1121,0.0424,0.0697,B,2013
10/9/2013,0.23673,0.1325,0.10423,E,2013
3/7/2014,0.14089,0.0674,0.07349,C,2014
6/27/2011,0.2452,0.13,0.1152,E,2011
1/29/2014,0.09989,0.0349,0.06499,A,2014
7/3/2013,0.1808,0.0824,0.0984,C,2013
11/15/2012,0.2799,0.1625,0.1174,HR,2012
5/27/2011,0.2437,0.112,0.1317,D,2011
7/19/2013,0.2,0.0975,0.1025,D,2013
3/16/2011,0.2957,0.147,0.1487,E,2011
7/1/2013,0.2512,0.1375,0.1137,E,2013
2/24/2011,0.0983,0.0495,0.0488,B,2011
4/18/2013,0.1808,0.0824,0.0984,C,2013
1/22/2014,0.20961,0.1175,0.09211,D,2014
